device_name,logical_name,item,stats_type,value,och,center_frequency,och_group,time,side,pn
T3,/1/6/L1,preFecBer,min,0.000575,5,191900000,2,2000/1/1 02:00,A,ot1
T3,/1/1/L1,preFecBer,avg,0.00198,1,191400000,1,2000/1/1 03:00,Z,ot1
T3,/1/3/L1,preFecBer,avg,0.00243,2,191600000,1,2000/1/1 03:00,Z,ot1
T3,/1/5/L1,preFecBer,avg,0.00285,3,191800000,1,2000/1/1 03:00,Z,ot1
T3,/1/1/L1,preFecBer,instant,0.00197,1,191400000,1,2000/1/1 03:00,Z,ot1
T3,/1/3/L1,preFecBer,instant,0.0024,2,191600000,1,2000/1/1 03:00,Z,ot1
T3,/1/5/L1,preFecBer,instant,0.00284,3,191800000,1,2000/1/1 03:00,Z,ot1
T3,/1/1/L1,preFecBer,max,0.00205,1,191400000,1,2000/1/1 03:00,Z,ot1
T3,/1/3/L1,preFecBer,max,0.00249,2,191600000,1,2000/1/1 03:00,Z,ot1
T3,/1/5/L1,preFecBer,max,0.00295,3,191800000,1,2000/1/1 03:00,Z,ot1
T3,/1/1/L1,preFecBer,min,0.00192,1,191400000,1,2000/1/1 03:00,Z,ot1
T3,/1/3/L1,preFecBer,min,0.00238,2,191600000,1,2000/1/1 03:00,Z,ot1
T3,/1/5/L1,preFecBer,min,0.00273,3,191800000,1,2000/1/1 03:00,Z,ot1
T4,/1/1/L1,preFecBer,avg,2.73E-05,6,191500000,2,2000/1/1 03:00,Z,ot1
T4,/1/2/L1,preFecBer,avg,2.97E-05,4,191700000,2,2000/1/1 03:00,Z,ot1
T4,/1/3/L1,preFecBer,avg,1.84E-05,5,191900000,2,2000/1/1 03:00,Z,ot1
T4,/1/1/L1,preFecBer,instant,2.76E-05,6,191500000,2,2000/1/1 03:00,Z,ot1
T4,/1/2/L1,preFecBer,instant,2.96E-05,4,191700000,2,2000/1/1 03:00,Z,ot1
T4,/1/3/L1,preFecBer,instant,1.83E-05,5,191900000,2,2000/1/1 03:00,Z,ot1
T4,/1/1/L1,preFecBer,max,2.93E-05,6,191500000,2,2000/1/1 03:00,Z,ot1
T4,/1/2/L1,preFecBer,max,3.14E-05,4,191700000,2,2000/1/1 03:00,Z,ot1
T4,/1/3/L1,preFecBer,max,1.97E-05,5,191900000,2,2000/1/1 03:00,Z,ot1
T4,/1/1/L1,preFecBer,min,2.56E-05,6,191500000,2,2000/1/1 03:00,Z,ot1
T4,/1/2/L1,preFecBer,min,2.83E-05,4,191700000,2,2000/1/1 03:00,Z,ot1
T4,/1/3/L1,preFecBer,min,1.74E-05,5,191900000,2,2000/1/1 03:00,Z,ot1
T1,/1/4/L1,preFecBer,avg,5.75E-05,2,191600000,1,2000/1/1 03:00,A,ot1
T1,/1/6/L1,preFecBer,avg,6.29E-05,1,191400000,1,2000/1/1 03:00,A,ot1
T1,/1/4/L1,preFecBer,instant,5.81E-05,2,191600000,1,2000/1/1 03:00,A,ot1
T1,/1/6/L1,preFecBer,instant,6.25E-05,1,191400000,1,2000/1/1 03:00,A,ot1
T1,/1/4/L1,preFecBer,max,5.96E-05,2,191600000,1,2000/1/1 03:00,A,ot1
T1,/1/6/L1,preFecBer,max,6.57E-05,1,191400000,1,2000/1/1 03:00,A,ot1
T1,/1/4/L1,preFecBer,min,5.55E-05,2,191600000,1,2000/1/1 03:00,A,ot1
T1,/1/6/L1,preFecBer,min,5.95E-05,1,191400000,1,2000/1/1 03:00,A,ot1
T2,/1/1/L1,preFecBer,avg,5.18E-05,3,191800000,1,2000/1/1 03:00,A,ot1
T2,/1/1/L1,preFecBer,instant,5.25E-05,3,191800000,1,2000/1/1 03:00,A,ot1
T2,/1/1/L1,preFecBer,max,5.50E-05,3,191800000,1,2000/1/1 03:00,A,ot1
T2,/1/1/L1,preFecBer,min,4.89E-05,3,191800000,1,2000/1/1 03:00,A,ot1
T3,/1/2/L1,preFecBer,avg,0.00085,6,191500000,2,2000/1/1 03:00,A,ot1
T3,/1/4/L1,preFecBer,avg,0.001,4,191700000,2,2000/1/1 03:00,A,ot1
T3,/1/6/L1,preFecBer,avg,0.000599,5,191900000,2,2000/1/1 03:00,A,ot1
T3,/1/2/L1,preFecBer,instant,0.000848,6,191500000,2,2000/1/1 03:00,A,ot1
T3,/1/4/L1,preFecBer,instant,0.00101,4,191700000,2,2000/1/1 03:00,A,ot1
T3,/1/6/L1,preFecBer,instant,0.000603,5,191900000,2,2000/1/1 03:00,A,ot1
T3,/1/2/L1,preFecBer,max,0.000878,6,191500000,2,2000/1/1 03:00,A,ot1
T3,/1/4/L1,preFecBer,max,0.00104,4,191700000,2,2000/1/1 03:00,A,ot1
T3,/1/6/L1,preFecBer,max,0.000627,5,191900000,2,2000/1/1 03:00,A,ot1
T3,/1/2/L1,preFecBer,min,0.000813,6,191500000,2,2000/1/1 03:00,A,ot1
T3,/1/4/L1,preFecBer,min,0.00096,4,191700000,2,2000/1/1 03:00,A,ot1
T3,/1/6/L1,preFecBer,min,0.000581,5,191900000,2,2000/1/1 03:00,A,ot1
T3,/1/1/L1,preFecBer,avg,0.00195,1,191400000,1,2000/1/1 04:00,Z,ot1
T3,/1/3/L1,preFecBer,avg,0.0024,2,191600000,1,2000/1/1 04:00,Z,ot1
T3,/1/5/L1,preFecBer,avg,0.00283,3,191800000,1,2000/1/1 04:00,Z,ot1
T3,/1/1/L1,preFecBer,instant,0.00191,1,191400000,1,2000/1/1 04:00,Z,ot1
T3,/1/3/L1,preFecBer,instant,0.00235,2,191600000,1,2000/1/1 04:00,Z,ot1
T3,/1/5/L1,preFecBer,instant,0.00277,3,191800000,1,2000/1/1 04:00,Z,ot1
T3,/1/1/L1,preFecBer,max,0.00203,1,191400000,1,2000/1/1 04:00,Z,ot1
T3,/1/3/L1,preFecBer,max,0.00249,2,191600000,1,2000/1/1 04:00,Z,ot1
T3,/1/5/L1,preFecBer,max,0.00299,3,191800000,1,2000/1/1 04:00,Z,ot1
T3,/1/1/L1,preFecBer,min,0.00185,1,191400000,1,2000/1/1 04:00,Z,ot1
T3,/1/3/L1,preFecBer,min,0.00226,2,191600000,1,2000/1/1 04:00,Z,ot1
T3,/1/5/L1,preFecBer,min,0.00263,3,191800000,1,2000/1/1 04:00,Z,ot1
T4,/1/1/L1,preFecBer,avg,2.65E-05,6,191500000,2,2000/1/1 04:00,Z,ot1
T4,/1/2/L1,preFecBer,avg,2.89E-05,4,191700000,2,2000/1/1 04:00,Z,ot1
T4,/1/3/L1,preFecBer,avg,1.86E-05,5,191900000,2,2000/1/1 04:00,Z,ot1
T4,/1/1/L1,preFecBer,instant,2.46E-05,6,191500000,2,2000/1/1 04:00,Z,ot1
T4,/1/2/L1,preFecBer,instant,2.79E-05,4,191700000,2,2000/1/1 04:00,Z,ot1
T4,/1/3/L1,preFecBer,instant,1.88E-05,5,191900000,2,2000/1/1 04:00,Z,ot1
T4,/1/1/L1,preFecBer,max,2.81E-05,6,191500000,2,2000/1/1 04:00,Z,ot1
T4,/1/2/L1,preFecBer,max,3.00E-05,4,191700000,2,2000/1/1 04:00,Z,ot1
T4,/1/3/L1,preFecBer,max,2.03E-05,5,191900000,2,2000/1/1 04:00,Z,ot1
T4,/1/1/L1,preFecBer,min,2.46E-05,6,191500000,2,2000/1/1 04:00,Z,ot1
T4,/1/2/L1,preFecBer,min,2.77E-05,4,191700000,2,2000/1/1 04:00,Z,ot1
T4,/1/3/L1,preFecBer,min,1.74E-05,5,191900000,2,2000/1/1 04:00,Z,ot1
T1,/1/4/L1,preFecBer,avg,5.68E-05,2,191600000,1,2000/1/1 04:00,A,ot1
T1,/1/6/L1,preFecBer,avg,6.21E-05,1,191400000,1,2000/1/1 04:00,A,ot1
T1,/1/4/L1,preFecBer,instant,5.58E-05,2,191600000,1,2000/1/1 04:00,A,ot1
T1,/1/6/L1,preFecBer,instant,5.95E-05,1,191400000,1,2000/1/1 04:00,A,ot1
T1,/1/4/L1,preFecBer,max,5.86E-05,2,191600000,1,2000/1/1 04:00,A,ot1
T1,/1/6/L1,preFecBer,max,6.45E-05,1,191400000,1,2000/1/1 04:00,A,ot1
T1,/1/4/L1,preFecBer,min,5.53E-05,2,191600000,1,2000/1/1 04:00,A,ot1
T1,/1/6/L1,preFecBer,min,5.94E-05,1,191400000,1,2000/1/1 04:00,A,ot1
T2,/1/1/L1,preFecBer,avg,5.25E-05,3,191800000,1,2000/1/1 04:00,A,ot1
T2,/1/1/L1,preFecBer,instant,5.07E-05,3,191800000,1,2000/1/1 04:00,A,ot1
